"","sample1_Tumor","sample2_Tumor","sample3_Tumor","sample4_Tumor","sample5_Tumor","sample1_Normal","sample2_Normal","sample3_Normal","sample4_Normal","sample5_Normal"
" Bilirubin","Tumor","Tumor","Tumor","Tumor","Tumor","Normal","Normal","Normal","Normal","Normal"
" Uric Acid","8876.319575","4224.546052","9152.262849","114689.9359","56210.00468","77827.65946","83368.42399","6014.97671","11879.81858","7125.225401"
" Adenosine cyclic phosphate","7607.852009","7388.228033","6765.62543","9099.505783","19397.18722","8477.981834","7222.522804","6729.0304","9329.209097","7935.056264"
" Phytosphingosine","21220.33422","7975.046468","7680.960105","97370.81584","13937.59755","73493.36028","8541.076014","8670.198578","3526.76279","8270.736866"
" Palmitoleic Acid","8294.301912","68301.87057","7171.136103","81596.96514","59986.83817","37853.41395","9173.579961","76474.17879","77830.74016","49821.8238"
" Elaidic Acid","3234.443553","16838.94154","16809.60819","7223.402135","69372.6849","336764.1795","4718.802365","8320.047806","48465.65516","19514.03996"
" Citramalic acid","294663.1367","3941.838069","7137.820431","588478.0876","35933.60766","229230.6265","278784.3509","349375.3628","7190.97249","506209.4412"
" trans-4-Hydroxycyclohexanecarboxylic acid","24858.10845","14272.70443","83868.36334","3914.595641","7140.396271","38265.34887","5068.66723","21206.40534","51723.35459","6621.963787"
" Theophylline","4408.634175","3028.997914","3676.716767","52967.39279","8720.548503","9617.227345","4651.016047","82969.86516","9677.512066","9560.337823"
" Oxindole","13785.99154","22353.34767","4846.161168","2703.017349","15907.18973","145739.7275","84606.56628","15014.06505","4354.56805","15907.18973"
" Pyridoxal","7788.87097","8400.701674","96052.67271","5226.191165","6154.468593","3668.862126","168152.7073","70105.26232","7059.704163","5375.427433"
" Salicyluric acid","6003.713423","6215.303081","144673.4023","39186.28229","50106.04124","41918.15471","30914.24778","30318.34142","48047.13562","40920.57212"
"","29754.84651","19301.40414","10033.18774","9851.2386","13419.24898","4414.465011","9851.2386","9851.2386","9768.102075","2482.661955"
" Nonanoic acid","35839.91069","40901.88847","9333.993893","79869.72865","49656.55675","38219.50458","49897.2897","50086.8686","50086.8686","64026.16596"
" N6-Acetyl-L-lysine","4777.901002","46315.34033","12929.38765","10972.21662","5737.796109","30437.9078","75157.06224","28129.51871","8941.90006","53400.6008"
" Methylmalonic acid","91564.76922","9546.838205","312469.4501","39877.16912","119900.0037","20947.03514","6597.094027","79663.00677","45216.20013","9388.272208"
" gamma-Linolenic acid","6992.756768","7700.489646","4829.733503","6232.948399","4334.201134","3425.753114","8128.89147","9172.680804","7172.22973","9917.679764"
" Butyric Acid","2912.32194","2771.365501","3564.225384","4933.784377","24645.65443","7051.9223","14643.68536","90719.00902","2458.258352","7011.936169"
" Chenodiol","8649.268769","60046.60836","4193.161485","25769.07251","98653.40297","9150.484071","9331.551943","7333.066928","2210.083856","318449.3054"
" Isopropyl Alcohol","5788.829971","558417.2498","28494.59468","652998.5073","6546.027962","6369.530001","90736.35938","31832.3354","16919.77724","76972.60686"
" Glutamic Acid","11185.33485","8342.249288","15865.01745","26769.91881","5424.421284","5406.152637","7782.306588","6957.52758","8445.780967","4984.055543"
" Adenine","7363.53993","2226.679936","3794.790609","19822.89502","8437.680531","8095.58111","3510.675253","3807.712352","1791.495536","77886.13424"
" 4-Guanidinobutyric acid","8022.208762","4893.9683","8022.208762","28855.60276","8572.598717","9182.591902","9622.377111","6366.18534","7498.217011","66129.87255"
