"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
" Uric Acid",-0.0025605,-0.0062086,0.015265,-0.02766,-0.0017861,-0.036591,0.0054894,0.027017,0.052566,-0.28541
" Adenosine cyclic phosphate",3.3223e-05,-0.00037367,0.00015776,-0.0022161,-0.00089873,0.0045164,-0.0023413,0.0055245,0.0015528,-0.28229
" Phytosphingosine",-0.0020945,-0.0041358,0.0058105,-0.011708,-0.0021512,-0.048702,-0.012242,0.038508,-0.0073772,0.83696
" Palmitoleic Acid",0.002885,-0.0036217,0.013006,0.0068081,0.021681,0.0032735,-0.012296,0.048965,-0.020521,-0.08166
" Elaidic Acid",-0.00028335,-0.0067916,0.020241,-0.031153,-0.043914,-0.067456,-0.20894,-0.050849,-0.01028,-0.13306
" Citramalic acid",-0.020103,-0.034385,-0.027874,-0.062945,0.18538,-0.19016,0.14376,-0.015368,-0.19134,-0.11576
" trans-4-Hydroxycyclohexanecarboxylic acid",0.0021692,0.0089468,-0.0037037,0.00097709,-0.012591,-0.010943,-0.014027,-0.0059311,-0.0048974,0.18997
" Theophylline",-0.0011112,0.0006765,0.00044477,0.0052461,0.034915,-0.013392,-0.0080141,0.030214,0.0081647,-0.097195
" Oxindole",-0.0025109,-0.0052145,0.012117,-0.010568,-0.015233,-0.031986,-0.060613,-0.071475,0.044422,-0.079668
" Pyridoxal",-0.0032649,0.0098487,0.0076513,-0.0041781,0.014734,0.0018298,0.047489,-0.079246,0.11701,-0.013115
" Salicyluric acid",0.0001513,0.014489,0.0055402,-0.018565,-0.0091477,-0.0010731,0.0014243,0.0038054,-0.013102,0.00071684
" Nonanoic acid",0.0004171,-0.0052289,0.0042737,-0.0051611,0.014885,-0.0041514,0.012005,0.01408,-0.0082652,0.0039234
" N6-Acetyl-L-lysine",-0.0014372,-0.0024638,0.012014,0.0032386,0.005815,0.0036186,0.014411,-0.052367,0.0074095,-0.0012812
" Methylmalonic acid",-0.0036359,0.034563,-0.023626,-0.015017,-0.031707,0.023594,0.0020166,0.063132,0.0016822,-0.0024855
