"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"sample1_Normal",778820,-758790,-242660,-300310,-989950,-138160,976820,167310
"sample2_Normal",828290,-889090,-531550,-43853,-576360,-569290,-639300,-638030
"sample3_Normal",1499800,-333530,-2060100,-674380,678930,1025000,-71153,299670
"sample4_Normal",-9982500,591910,-160720,-27855,64635,-6732,38414,-25281
"sample5_Normal",33978,-1074200,-789300,-95019,-39602,-564830,-393160,174990
"sample1_Tumor",1406900,430580,2331700,-1041600,579950,-476900,77526,-197430
"sample2_Tumor",675350,173160,1734800,289220,-625220,1533900,-390680,148790
"sample3_Tumor",2816000,2832900,-1114300,240340,-208230,-299470,30739,-134150
"sample4_Tumor",939160,-763410,125740,926790,786620,341720,489480,-622290
"sample5_Tumor",1004200,-209580,706470,726700,329230,-845210,-118680,826440
