"","p_log","fc_log","Direction","metabolites"
" Uric Acid",0,-0.052767,"Non-Significant"," Uric Acid"
" Adenosine cyclic phosphate",0,-0.34045,"Non-Significant"," Adenosine cyclic phosphate"
" Phytosphingosine",0.00851154927780158,-0.53174,"Non-Significant"," Phytosphingosine"
" Palmitoleic Acid",0,0.1564,"Non-Significant"," Palmitoleic Acid"
" Elaidic Acid",0.00851154927780158,1.8803,"Non-Significant"," Elaidic Acid"
" Citramalic acid",0.00851154927780158,0.55947,"Non-Significant"," Citramalic acid"
" trans-4-Hydroxycyclohexanecarboxylic acid",0,-0.1255,"Non-Significant"," trans-4-Hydroxycyclohexanecarboxylic acid"
" Theophylline",0.0943325901202457,0.67798,"Non-Significant"," Theophylline"
" Oxindole",0.0529053097550758,2.1561,"Non-Significant"," Oxindole"
" Pyridoxal",0,1.0409,"Non-Significant"," Pyridoxal"
" Salicyluric acid",0,-0.35775,"Non-Significant"," Salicyluric acid"
" Nonanoic acid",0.0943325901202457,0.22686,"Non-Significant"," Nonanoic acid"
" N6-Acetyl-L-lysine",0.0943325901202457,1.2801,"Non-Significant"," N6-Acetyl-L-lysine"
" Methylmalonic acid",0.0943325901202457,-1.8251,"Non-Significant"," Methylmalonic acid"
" gamma-Linolenic acid",0.0943325901202457,0.32975,"Non-Significant"," gamma-Linolenic acid"
" Butyric Acid",0.0458350621935418,1.6504,"Non-Significant"," Butyric Acid"
" Chenodiol",0.00851154927780158,0.81227,"Non-Significant"," Chenodiol"
" Isopropyl Alcohol",0,-2.4905,"Non-Significant"," Isopropyl Alcohol"
" Glutamic Acid",0.0943325901202457,-1.0093,"Non-Significant"," Glutamic Acid"
" Adenine",0,1.1912,"Non-Significant"," Adenine"
" 4-Guanidinobutyric acid",0.00851154927780158,0.75936,"Non-Significant"," 4-Guanidinobutyric acid"
" Thiamine",0.0943325901202457,0.67634,"Non-Significant"," Thiamine"
" 2-Aminoethyl dihydrogen phosphate",0.0943325901202457,-1.1837,"Non-Significant"," 2-Aminoethyl dihydrogen phosphate"
" Raffinose",0.0943325901202457,1.897,"Non-Significant"," Raffinose"
" 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine",0.349605095223552,2.7926,"Up"," 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine"
" Leucine",0.0458350621935418,0.77097,"Non-Significant"," Leucine"
" Lauric Acid",0,-0.24395,"Non-Significant"," Lauric Acid"
" Stearic Acid",0,0.078721,"Non-Significant"," Stearic Acid"
" Taurocholic acid",0.0943325901202457,-0.72095,"Non-Significant"," Taurocholic acid"
" Myristic Acid",0.00851154927780158,1.1002,"Non-Significant"," Myristic Acid"
" Benzoic Acid",0,-0.20973,"Non-Significant"," Benzoic Acid"
" 3-Methyl-L-histidine",0.00851154927780158,-1.8358,"Non-Significant"," 3-Methyl-L-histidine"
